,index_column,index_column,index_column,level_0,index_column,key_name,year,Weighted Inversions,Number Inversions,Top 1,Top 8,Mean,Standard Deviation,Seeded Status
0,0,0,0,0,0,CSGO Swiss ,2012,51.77310397637502,17.466,4.958,8.096875,0.7819009368541097,0.48,Seeded
1,1,1,1,1,1,CSGO Swiss ,2013,54.06166826426058,18.233,5.234,7.69875,1.1294018890318704,0.52,Seeded
2,2,2,2,2,2,CSGO Swiss ,2014,44.75122925243093,16.928,6.397,7.3742222222222225,1.3634574641179733,0.6,Seeded
3,3,3,3,3,3,CSGO Swiss ,2015,50.71791781120988,17.676,5.676,7.994555555555555,1.2804648955452322,0.57,Seeded
4,4,4,4,4,4,CSGO Swiss ,2016,57.6097246968845,18.459,6.613,8.97025,1.2624862145743085,0.7,Seeded
5,5,5,5,5,5,CSGO Swiss ,2017,52.01665123834756,17.206,6.938,9.343333333333334,1.622285424007997,0.56,Seeded
6,6,6,6,6,6,CSGO Swiss ,2018,57.031902354209734,18.11,5.434,8.484875,1.6362645536500766,0.48,Seeded
7,7,7,7,7,7,CSGO Swiss ,2019,49.548535231285584,17.148,6.881,8.745888888888889,1.68156681697346,0.48,Seeded
8,8,8,8,8,8,CSGO Swiss ,2012,59.1569064252387,18.124,5.76,8.818125,0.7819009368541097,0.48,Unseeded
9,9,9,9,9,9,CSGO Swiss ,2013,54.277319226227135,17.502,5.386,8.484625,1.1294018890318704,0.52,Unseeded
10,10,10,10,10,10,CSGO Swiss ,2014,53.21112713313062,17.78,6.118,8.435,1.3634574641179733,0.6,Unseeded
11,11,11,11,11,11,CSGO Swiss ,2015,56.752048279575824,18.189,5.64,8.152375,1.2804648955452322,0.57,Unseeded
12,12,12,12,12,12,CSGO Swiss ,2016,47.32971198339025,17.069,6.981,7.866888888888889,1.2624862145743085,0.7,Unseeded
13,13,13,13,13,13,CSGO Swiss ,2017,51.89165033040586,17.304,7.431,9.37711111111111,1.622285424007997,0.56,Unseeded
14,14,14,14,14,14,CSGO Swiss ,2018,60.02027563134013,18.525,6.855,9.581,1.6362645536500766,0.48,Unseeded
15,15,15,15,15,15,CSGO Swiss ,2019,54.176214784456505,17.326,7.826,9.89,1.68156681697346,0.48,Unseeded
16,16,16,16,16,16,Double Elimination ,2012,50.235210064413,17.968,5.473,8.56,0.7819009368541097,0.48,Seeded
17,17,17,17,17,17,Double Elimination ,2013,52.87795351984601,18.72,5.587,8.196625,1.1294018890318704,0.52,Seeded
18,18,18,18,18,18,Double Elimination ,2014,42.86008786415794,17.562,6.31,7.921777777777778,1.3634574641179733,0.6,Seeded
19,19,19,19,19,19,Double Elimination ,2015,49.317084835497845,18.218,6.182,8.409333333333334,1.2804648955452322,0.57,Seeded
20,20,20,20,20,20,Double Elimination ,2016,56.394369855827186,18.864,7.382,9.506875,1.2624862145743085,0.7,Seeded
21,21,21,21,21,21,Double Elimination ,2017,51.10066316606493,17.676,7.396,9.923333333333334,1.622285424007997,0.56,Seeded
22,22,22,22,22,22,Double Elimination ,2018,55.97605530966045,18.472,6.475,9.02625,1.6362645536500766,0.48,Seeded
23,23,23,23,23,23,Double Elimination ,2019,48.58527361264624,17.646,7.231,9.287333333333335,1.68156681697346,0.48,Seeded
24,24,24,24,24,24,Double Elimination ,2012,55.18753636866587,17.85,7.224,9.549375,0.7819009368541097,0.48,Unseeded
25,25,25,25,25,25,Double Elimination ,2013,58.426802755406534,18.504,6.927,9.28875,1.1294018890318704,0.52,Unseeded
26,26,26,26,26,26,Double Elimination ,2014,49.18191218082757,17.511,7.903,8.914111111111112,1.3634574641179733,0.6,Unseeded
27,27,27,27,27,27,Double Elimination ,2015,55.303826673941536,18.039,7.548,9.603777777777777,1.2804648955452322,0.57,Unseeded
28,28,28,28,28,28,Double Elimination ,2016,61.671075969468,18.645,8.672,10.674875,1.2624862145743085,0.7,Unseeded
29,29,29,29,29,29,Double Elimination ,2017,55.55098510726304,17.699,9.064,10.901,1.622285424007997,0.56,Unseeded
30,30,30,30,30,30,Double Elimination ,2018,60.3859762335375,18.268,7.189,9.889,1.6362645536500766,0.48,Unseeded
31,31,31,31,31,31,Double Elimination ,2019,54.24872397615044,17.679,9.206,10.425777777777778,1.68156681697346,0.48,Unseeded
32,32,32,32,32,32,GSL ,2012,69.85547234906618,22.733,4.263,5.894,0.7819009368541097,0.48,Seeded
33,33,33,33,33,33,GSL ,2013,63.97872292359591,22.462,3.798,5.732125,1.1294018890318704,0.52,Seeded
34,34,34,34,34,34,GSL ,2014,64.4361710110251,23.013,4.73,5.9975555555555555,1.3634574641179733,0.6,Seeded
35,35,35,35,35,35,GSL ,2015,67.69584568299504,23.305,4.266,5.33125,1.2804648955452322,0.57,Seeded
36,36,36,36,36,36,GSL ,2016,58.37360931454669,21.906,5.46,5.622333333333333,1.2624862145743085,0.7,Seeded
37,37,37,37,37,37,GSL ,2017,63.79756336441329,22.165,5.786,6.9831111111111115,1.622285424007997,0.56,Seeded
38,38,38,38,38,38,GSL ,2018,73.10721877376533,23.061,5.435,6.939125,1.6362645536500766,0.48,Seeded
39,39,39,39,39,39,GSL ,2019,66.11094502647933,21.814,6.301,7.504777777777777,1.68156681697346,0.48,Seeded
40,40,40,40,40,40,GSL ,2012,73.33458030976622,22.147,4.457,7.150625,0.7819009368541097,0.48,Unseeded
41,41,41,41,41,41,GSL ,2013,67.86261913050726,21.813,4.05,7.01525,1.1294018890318704,0.52,Unseeded
42,42,42,42,42,42,GSL ,2014,69.1334870672425,22.091,4.72,7.137555555555556,1.3634574641179733,0.6,Unseeded
43,43,43,43,43,43,GSL ,2015,71.37705418395397,22.415,4.209,6.636625,1.2804648955452322,0.57,Unseeded
44,44,44,44,44,44,GSL ,2016,63.24272397646712,21.348,5.927,6.724666666666667,1.2624862145743085,0.7,Unseeded
45,45,45,45,45,45,GSL ,2017,67.40061828102512,21.715,6.328,7.807777777777777,1.622285424007997,0.56,Unseeded
46,46,46,46,46,46,GSL ,2018,76.04762787744842,22.397,5.755,8.0125,1.6362645536500766,0.48,Unseeded
47,47,47,47,47,47,GSL ,2019,69.22469867733916,21.402,6.253,8.266444444444446,1.68156681697346,0.48,Unseeded
48,48,48,48,48,48,Multi-Stage ,2012,63.253287916749045,21.02,5.874,7.5305,0.7819009368541097,0.48,Seeded
49,49,49,49,49,49,Multi-Stage ,2013,66.8026748749057,21.676,5.511,7.20925,1.1294018890318704,0.52,Seeded
50,50,50,50,50,50,Multi-Stage ,2014,57.66468455619937,20.684,7.031,7.164888888888889,1.3634574641179733,0.6,Seeded
51,51,51,51,51,51,Multi-Stage ,2015,64.36205444977182,21.331,6.606,7.663333333333333,1.2804648955452322,0.57,Seeded
52,52,52,52,52,52,Multi-Stage ,2016,70.38830682090422,21.862,7.264,8.2385,1.2624862145743085,0.7,Seeded
53,53,53,53,53,53,Multi-Stage ,2017,64.00014070677139,20.51,7.909,8.607888888888889,1.622285424007997,0.56,Seeded
54,54,54,54,54,54,Multi-Stage ,2018,69.33097766322942,21.352,6.638,7.779625,1.6362645536500766,0.48,Seeded
55,55,55,55,55,55,Multi-Stage ,2019,61.977500176350034,20.816,7.207,8.242,1.68156681697346,0.48,Seeded
56,56,56,56,56,56,Multi-Stage ,2012,66.3344770725949,20.562,6.0,8.2765,0.7819009368541097,0.48,Unseeded
57,57,57,57,57,57,Multi-Stage ,2013,69.97018140849026,21.168,6.338,7.944875,1.1294018890318704,0.52,Unseeded
58,58,58,58,58,58,Multi-Stage ,2014,61.47591101531233,20.341,7.283,7.904111111111112,1.3634574641179733,0.6,Unseeded
59,59,59,59,59,59,Multi-Stage ,2015,67.5511064897468,20.865,6.735,8.290222222222223,1.2804648955452322,0.57,Unseeded
60,60,60,60,60,60,Multi-Stage ,2016,73.31175816345402,21.288,7.266,8.99875,1.2624862145743085,0.7,Unseeded
61,61,61,61,61,61,Multi-Stage ,2017,67.05971574722122,20.116,7.673,9.263777777777777,1.622285424007997,0.56,Unseeded
62,62,62,62,62,62,Multi-Stage ,2018,71.93779934600272,21.051,6.61,8.440875,1.6362645536500766,0.48,Unseeded
63,63,63,63,63,63,Multi-Stage ,2019,65.00909633825653,20.426,7.354,8.815,1.68156681697346,0.48,Unseeded
64,64,64,64,64,64,Round Robin,2012,26.499172006947255,14.298,2.633,6.10675,0.7819009368541097,0.48,Robin
65,65,65,65,65,65,Round Robin,2013,21.776932348570355,12.816,2.157,5.815375,1.1294018890318704,0.52,Robin
66,66,66,66,66,66,Round Robin,2014,20.707309391480255,12.889,3.181,6.168111111111111,1.3634574641179733,0.6,Robin
67,67,67,67,67,67,Round Robin,2015,23.574170480762096,13.921,2.646,5.563,1.2804648955452322,0.57,Robin
68,68,68,68,68,68,Round Robin,2016,15.88596764472976,11.091,4.111,5.819444444444445,1.2624862145743085,0.7,Robin
69,69,69,69,69,69,Round Robin,2017,20.018410037837583,11.771,4.323,7.011,1.622285424007997,0.56,Robin
70,70,70,70,70,70,Round Robin,2018,26.845321056061323,14.399,3.716,7.07175,1.6362645536500766,0.48,Robin
71,71,71,71,71,71,Round Robin,2019,23.060735940514434,12.111,4.027,7.665,1.68156681697346,0.48,Robin
72,72,72,72,72,72,Simple Knockout ,2012,84.70100212910738,26.024,5.93,8.165660714285714,0.7819009368541097,0.48,Seeded
73,73,73,73,73,73,Simple Knockout ,2013,89.57793830996695,27.005,5.697,7.8648928571428565,1.1294018890318704,0.52,Seeded
74,74,74,74,74,74,Simple Knockout ,2014,78.89568334376197,25.277,6.09,7.481583333333333,1.3634574641179733,0.6,Seeded
75,75,75,75,75,75,Simple Knockout ,2015,84.07393480957258,25.846,6.081,7.972902777777778,1.2804648955452322,0.57,Seeded
76,76,76,76,76,76,Simple Knockout ,2016,92.88494624236256,26.528,6.755,8.686589285714286,1.2624862145743085,0.7,Seeded
77,77,77,77,77,77,Simple Knockout ,2017,84.41230129914045,24.439,6.489,8.89348611111111,1.622285424007997,0.56,Seeded
78,78,78,78,78,78,Simple Knockout ,2018,91.7591089241963,26.649,5.839,8.377642857142856,1.6362645536500766,0.48,Seeded
79,79,79,79,79,79,Simple Knockout ,2019,81.91447453048522,24.765,6.3,8.282958333333333,1.68156681697346,0.48,Seeded
80,80,80,80,80,80,Simple Knockout ,2012,82.63507207677151,21.32,7.5,9.12375,0.7819009368541097,0.48,Unseeded
81,81,81,81,81,81,Simple Knockout ,2013,76.99868904869764,21.06,7.312,9.01325,1.1294018890318704,0.52,Unseeded
82,82,82,82,82,82,Simple Knockout ,2014,78.69941077452673,21.288,7.47,8.976888888888888,1.3634574641179733,0.6,Unseeded
83,83,83,83,83,83,Simple Knockout ,2015,81.18687134904422,21.493,6.956,8.7625,1.2804648955452322,0.57,Unseeded
84,84,84,84,84,84,Simple Knockout ,2016,72.95651439668565,20.765,8.152,8.686,1.2624862145743085,0.7,Unseeded
85,85,85,85,85,85,Simple Knockout ,2017,76.33841455280312,20.653,8.536,9.595777777777778,1.622285424007997,0.56,Unseeded
86,86,86,86,86,86,Simple Knockout ,2018,84.17753404319674,21.477,8.63,9.672,1.6362645536500766,0.48,Unseeded
87,87,87,87,87,87,Simple Knockout ,2019,77.48665142518423,20.53,8.71,9.832666666666666,1.68156681697346,0.48,Unseeded
88,88,88,88,88,88,Swiss ,2012,53.79794820732015,18.444,5.211,8.1505,0.7819009368541097,0.48,Seeded
89,89,89,89,89,89,Swiss ,2013,56.847997332734,18.962,5.289,7.87425,1.1294018890318704,0.52,Seeded
90,90,90,90,90,90,Swiss ,2014,47.65880670053552,18.079,6.439,7.579,1.3634574641179733,0.6,Seeded
91,91,91,91,91,91,Swiss ,2015,53.24847822077569,18.393,5.86,8.025888888888888,1.2804648955452322,0.57,Seeded
92,92,92,92,92,92,Swiss ,2016,59.92752390025284,19.432,6.58,9.057375,1.2624862145743085,0.7,Seeded
93,93,93,93,93,93,Swiss ,2017,54.23408407151248,18.147,7.026,9.354222222222223,1.622285424007997,0.56,Seeded
94,94,94,94,94,94,Swiss ,2018,60.27070700061862,18.96,5.661,8.523125,1.6362645536500766,0.48,Seeded
95,95,95,95,95,95,Swiss ,2019,51.62872134246396,18.148,6.38,8.676333333333334,1.68156681697346,0.48,Seeded
96,96,96,96,96,96,Swiss ,2012,61.94776601093026,18.553,6.006,9.00475,0.7819009368541097,0.48,Unseeded
97,97,97,97,97,97,Swiss ,2013,55.5390235901686,17.945,5.642,8.830125,1.1294018890318704,0.52,Unseeded
98,98,98,98,98,98,Swiss ,2014,55.88651211760943,18.133,6.573,8.736888888888888,1.3634574641179733,0.6,Unseeded
99,99,99,99,99,99,Swiss ,2015,59.16882942369751,18.675,5.763,8.374125,1.2804648955452322,0.57,Unseeded
100,100,100,100,100,100,Swiss ,2016,49.412237595497075,17.696,6.98,8.143777777777778,1.2624862145743085,0.7,Unseeded
101,101,101,101,101,101,Swiss ,2017,53.93604663132753,17.953,7.698,9.577,1.622285424007997,0.56,Unseeded
102,102,102,102,102,102,Swiss ,2018,62.91480488041269,19.197,7.476,9.707,1.6362645536500766,0.48,Unseeded
103,103,103,103,103,103,Swiss ,2019,56.21426633653047,17.995,7.97,9.998777777777777,1.68156681697346,0.48,Unseeded
104,104,104,104,104,104,Triple Knockout ,2012,71.96866494377386,25.689,4.082,6.906732142857143,0.7819009368541097,0.48,Seeded
105,105,105,105,105,105,Triple Knockout ,2013,76.93720334408536,26.864,4.016,6.759607142857143,1.1294018890318704,0.52,Seeded
106,106,106,106,106,106,Triple Knockout ,2014,65.56100097673325,25.195,4.701,6.556638888888889,1.3634574641179733,0.6,Seeded
107,107,107,107,107,107,Triple Knockout ,2015,72.09773729094869,25.847,4.519,7.122777777777777,1.2804648955452322,0.57,Seeded
108,108,108,108,108,108,Triple Knockout ,2016,80.7144060047363,26.292,5.183,7.749803571428571,1.2624862145743085,0.7,Seeded
109,109,109,109,109,109,Triple Knockout ,2017,73.759387081066,24.359,5.419,8.144375,1.622285424007997,0.56,Seeded
110,110,110,110,110,110,Triple Knockout ,2018,79.9537269211621,26.304,4.274,7.345821428571428,1.6362645536500766,0.48,Seeded
111,111,111,111,111,111,Triple Knockout ,2019,69.96975077021712,24.454,5.073,7.410138888888889,1.68156681697346,0.48,Seeded
112,112,112,112,112,112,Triple Knockout ,2012,73.5733076468636,21.199,6.082,8.5665,0.7819009368541097,0.48,Unseeded
113,113,113,113,113,113,Triple Knockout ,2013,67.67325808742123,20.849,5.867,8.269375,1.1294018890318704,0.52,Unseeded
114,114,114,114,114,114,Triple Knockout ,2014,69.2122594527847,21.183,6.384,8.396222222222223,1.3634574641179733,0.6,Unseeded
115,115,115,115,115,115,Triple Knockout ,2015,71.82478951916421,21.342,6.078,8.104125,1.2804648955452322,0.57,Unseeded
116,116,116,116,116,116,Triple Knockout ,2016,63.09138626028986,20.519,6.715,8.122555555555556,1.2624862145743085,0.7,Unseeded
117,117,117,117,117,117,Triple Knockout ,2017,67.42130671644719,20.601,7.718,9.062,1.622285424007997,0.56,Unseeded
118,118,118,118,118,118,Triple Knockout ,2018,76.03569418315391,21.446,7.566,9.341,1.6362645536500766,0.48,Unseeded
119,119,119,119,119,119,Triple Knockout ,2019,69.00551478025751,20.44,7.817,9.438555555555554,1.68156681697346,0.48,Unseeded
